DebtDimId,Quarterly_Fico_Score,Behavior_Score,Bad
38282,539,699,0
71812,427,633,0
89764,686,701,0
135541,474,654,0
142281,625,687,0
182484,747,687,0
184187,464,662,0
220075,772,701,0
221363,671,688,0
221609,550,637,0
244661,635,688,0
256891,655,709,0
262513,540,655,0
268268,600,660,0
276631,492,682,0
299600,603,677,0
300652,523,674,0
309361,643,666,0
338010,585,652,0
339192,682,710,0
386639,596,678,0
391576,520,654,0
407039,629,671,0
466050,554,670,0
478574,481,658,0
479567,541,655,0
514892,679,700,0
531346,653,673,0
612526,580,666,0
686891,656,690,0
693497,656,683,0
701945,656,691,0
719820,584,663,0
739180,712,710,0
761227,560,677,0
834356,539,672,0
836560,770,701,0
862479,678,675,0
874568,537,662,0
890274,644,679,0
895630,672,674,0
986483,505,690,0
994769,693,669,0
1006120,533,656,0
1035480,562,711,0
1042857,542,666,0
1064393,804,679,0
1074745,644,666,1
1077211,542,693,0
1080091,521,640,0
1102221,601,670,0
1105270,573,646,0
1133495,572,645,0
1178635,743,673,0
1196272,755,676,0
1203449,637,662,0
1208135,604,684,0
1266702,696,673,0
1293315,555,675,0
1349246,576,707,0
1362000,494,668,0
1362924,547,650,0
1376670,633,714,0
1413069,703,691,0
1420425,741,693,0
1463986,620,701,1
1485963,606,662,0
1491851,683,708,0
1510490,648,672,0
1536991,653,705,0
1547800,711,669,0
1557589,709,680,0
1563576,674,647,0
1571303,655,684,0
1604331,510,680,0
1616088,509,652,0
1626001,773,698,0
1630532,599,680,0
1636680,598,661,0
1647792,535,694,0
1653393,647,686,0
1682359,511,703,0
1695646,678,677,0
1695646,678,677,0
1695646,678,677,0
1695646,678,677,0
1699374,646,688,0
1709208,719,688,0
1737032,662,700,0
1795540,617,638,0
1806925,671,656,0
1808337,615,715,0
1808596,521,636,1
1827155,682,656,0
1827155,682,656,0
1827155,682,656,0
1827155,682,656,0
1835409,538,683,0
1836443,713,705,0
1844255,476,679,0
1850160,601,680,0
1862539,673,657,0
1877349,808,714,0
1885541,681,721,0
1922068,601,664,0
1925933,668,695,0
1985159,651,695,0
1989014,673,659,0
1989650,568,667,0
1990297,508,623,0
2028222,616,648,0
2043404,678,664,0
2087116,715,692,0
2090928,700,682,0
2100176,497,654,0
2126364,719,706,0
2127694,566,637,0
2156315,726,693,0
2171817,494,659,0
2176714,607,681,0
2210575,569,686,0
2213407,595,709,0
2221881,685,677,0
2224481,557,666,0
2230664,536,642,0
2255389,621,644,0
2275327,550,697,1
2295854,524,658,0
2296393,727,696,0
2299228,668,676,0
2302624,540,665,0
2302705,569,698,0
2340299,633,663,0
2349239,506,686,0
2352008,702,674,0
2360660,484,650,0
2377582,628,666,0
2399988,494,687,0
2543188,493,656,0
2544450,518,671,0
2559003,663,676,0
2565272,509,660,0
2592386,550,698,0
2596158,567,662,1
2609075,676,662,0
2645514,611,684,0
2660954,525,682,0
2680887,553,686,0
2687378,739,703,0
2692324,676,680,0
2698554,743,675,0
2729994,526,664,0
2732546,559,663,0
2744494,532,633,1
2748240,691,670,0
2773115,527,668,0
2783988,467,676,1
2803824,596,644,0
2843470,701,689,0
2845973,694,661,0
2846017,726,679,0
2854422,670,662,0
2906895,504,691,0
2939677,627,692,0
2957830,670,686,0
2987195,630,671,0
2990508,559,667,0
3001784,731,706,0
3005255,619,680,0
3023180,587,680,0
3030092,609,669,0
3038861,766,666,0
3043266,630,670,1
3077899,709,696,0
3101028,639,670,0
3123893,683,687,0
3130190,680,688,0
3130725,692,694,0
3132556,499,677,0
3167721,590,642,0
3170696,585,668,0
3221733,592,680,0
3253861,646,680,0
3263537,643,701,0
3264145,524,630,0
